id,name_th,name_eng,shortname
1,อาคารเครื่องมือ 1,Facility Building 1,F1
2,อาคารเครื่องมือ 2,Facility Building 2,F2
3,อาคารเครื่องมือ 3,Facility Building 3,F3
4,อาคารเครื่องมือ 4,Facility Building 4,F4
5,อาคารเครื่องมือ 5,Facility Building 5,F5
6,อาคารเครื่องมือ 6,Facility Building 6,F6
7,อาคารเครื่องมือ 7,Facility Building 7,F7
9,อาคารเฉลิมพระเกียรติ 72 พรรษา (อาคารเครื่องมือ9),Facility Building 9,F9
10,อาคารเครื่องมือ 10,Facility Building 10,F10
11,อาคารคลังสารเคมี,Chemical Storage,คลังสารเคมี
12,อาคารเครื่องมือ 6/1,Facility Building 6/1,F6/1
14,อาคารสัตว์ทดลอง,320F,สัตว์ทดลอง
15,โรงประลอง,1/2101,โรงประลอง
16,ฟาร์ม,Farm,Farm
18,อาคารเครื่องมือ 11,Facility Building 11,F11
21,อุทยานผีเสื้อ,Butterfly Park,อุทยานผีเสื้อ
19,อาคารเครื่องมือ 12,Facility Building 12,F12
20,อาคารเกษตรภิวัฒน์ (อาคารเครื่องมือ 14),Kasetphiwat (Facility Building 14),F14
22,อาคารเครื่องมือ 16,Facility Building 16,F16
23,อาคารเครื่องมือ 0,Facility Building 0,F0
