id,ชื่อภาษาไทย,ชื่อภาษาอังกฤษ,หมายเลขห้อง,ประเภทห้อง Lab,พื้นที่,ความจุ(คน),division,unit,ชั้น,id อาคาร,ชื่ออาคาร,sid,responsibility_person,structure,status,booking,dateadd
0,Center Store Room,,F9999,,,,,,,,อาคารเครื่องมือ 0,,,,,,
1,พื้นที่ปฎิบัติการ SEDA,,F01,พื้นที่ปฎิบัติการ SEDA,1196.83,0,NULL,NULL,1,1,อาคารเครื่องมือ 1,NULL,NULL,NULL,พร้อมใช้งาน,NULL,21/3/2025 11:50
2,ห้องปฎิบัติการเครื่องจักรกลพื้นฐาน(โรงเครื่องมือกล...,MACHINE SHOP,F01101,ห้องปฎิบัติการงานพัฒนาเครื่องมือและสิ่งประดิษฐ์,654.93,60,NULL,NULL,1,1,อาคารเครื่องมือ 1,NULL,NULL,NULL,พร้อมใช้งาน,NULL,21/3/2025 11:50
3,ห้องปฎิบัติการเครื่องกัดโลหะ 5 แกน,CNC MILLING MACHINE 5 AXIS Lab,F01101-5,พื้นที่ปฎิบัติการต้นแบบทางวิศวกรรม,26.07,6,NULL,NULL,1,1,อาคารเครื่องมือ 1,NULL,NULL,NULL,พร้อมใช้งาน,NULL,21/3/2025 11:50
4,ห้องปฎิบัติการเครื่องกลึง CNC,CNC TURNING MACHINE Lab,F01101-8,ห้องปฎิบัติการงานพัฒนาเครื่องมือและสิ่งประดิษฐ์,37.94,6,NULL,NULL,1,1,อาคารเครื่องมือ 1,NULL,NULL,NULL,พร้อมใช้งาน,NULL,21/3/2025 11:50
5,ห้อง เบิก จ่ายวัสดุอุปกรณ์ งานพัฒนาเครื่องมือและสิ...,Material and equipment disbursement room,F01101-7,ห้องปฎิบัติการงานพัฒนาเครื่องมือและสิ่งประดิษฐ์,33.63,4,NULL,NULL,1,1,อาคารเครื่องมือ 1,NULL,NULL,NULL,พร้อมใช้งาน,NULL,21/3/2025 11:50
6,ห้องปฎิบัติการ ออกแบบ เขียนแบบ,DESING AND DRAFTING Lab,F01101-6,ห้องปฎิบัติการงานพัฒนาเครื่องมือและสิ่งประดิษฐ์,27.45,10,NULL,NULL,1,1,อาคารเครื่องมือ 1,NULL,NULL,NULL,พร้อมใช้งาน,NULL,21/3/2025 11:50
7,ห้องเก็บวัสดุงานพัฒนาเครื่องมือและสิ่งประดิษฐ์,,F01101-3,ห้องปฎิบัติการงานพัฒนาเครื่องมือและสิ่งประดิษฐ์,11.39,1,NULL,NULL,1,1,อาคารเครื่องมือ 1,NULL,NULL,NULL,พร้อมใช้งาน,NULL,21/3/2025 11:50
8,ห้องปฎิบัติการเครื่องมือวัด,MEASURING TOOLS  Lab,F01101-4,ห้องปฎิบัติการงานพัฒนาเครื่องมือและสิ่งประดิษฐ์,33,4,NULL,NULL,1,1,อาคารเครื่องมือ 1,NULL,NULL,NULL,พร้อมใช้งาน,NULL,21/3/2025 11:50
9,ห้องพักพนักงาน งานพัฒนาเครื่องมือและสิ่งประดิษฐ์,STAFF ROOM,F01101-2,ห้องปฎิบัติการงานพัฒนาเครื่องมือและสิ่งประดิษฐ์,22.84,4,NULL,NULL,1,1,อาคารเครื่องมือ 1,NULL,NULL,NULL,พร้อมใช้งาน,NULL,21/3/2025 11:50
10,ห้องปฎิบัติการเครื่องกัดโลหะ 3 แกน,CNC MILLING 3 AXIS Lab,F01101-1,ห้องปฎิบัติการงานพัฒนาเครื่องมือและสิ่งประดิษฐ์,22.75,6,NULL,NULL,1,1,อาคารเครื่องมือ 1,NULL,NULL,NULL,พร้อมใช้งาน,NULL,21/3/2025 11:50
11,ห้องระบบไฟฟ้าสำรองประจำอาคาร,,F01101-12,ห้องปฎิบัติการงานพัฒนาเครื่องมือและสิ่งประดิษฐ์,29.79,4,NULL,NULL,1,1,อาคารเครื่องมือ 1,NULL,NULL,NULL,พร้อมใช้งาน,NULL,21/3/2025 11:50
12,ห้องปฎิบัติการเครื่องตัดววัสดุด้วยแสงเลเซอร์ CNC,CNC LASER CUTTING MACHINE Lab,F01101-9,ห้องปฎิบัติการงานพัฒนาเครื่องมือและสิ่งประดิษฐ์,49.44,6,NULL,NULL,1,1,อาคารเครื่องมือ 1,NULL,NULL,NULL,พร้อมใช้งาน,NULL,21/3/2025 11:50
13,ห้องปฎิบัติการ งานพ่นสี,PAINT BOOTH,F01101-10,ห้องปฎิบัติการงานพัฒนาเครื่องมือและสิ่งประดิษฐ์,20.36,4,NULL,NULL,1,1,อาคารเครื่องมือ 1,NULL,NULL,NULL,พร้อมใช้งาน,NULL,21/3/2025 11:50
14,ห้องควบคุมระบบไฟฟ้าประจำอาคาร,Electrical system control room for the building,F01101-11,ห้องปฎิบัติการงานพัฒนาเครื่องมือและสิ่งประดิษฐ์,25.91,0,NULL,NULL,1,1,อาคารเครื่องมือ 1,NULL,NULL,NULL,พร้อมใช้งาน,NULL,21/3/2025 11:50
15,ห้องปฎิบัติการวิศวกรรมการผลิต,RAPID PROTOTYPE Lab,F01115A,ห้องปฎิบัติการวิศวกรรมการผลิต,62.31,20,NULL,NULL,1,1,อาคารเครื่องมือ 1,NULL,NULL,NULL,พร้อมใช้งาน,NULL,21/3/2025 11:50
16,ห้องปฎิบัติการวิศวกรรมการผลิต Seminar 1,Seminar 1,F01110A,ห้องปฎิบัติการวิศวกรรมการผลิต,115.3,60,NULL,NULL,1,1,อาคารเครื่องมือ 1,NULL,NULL,NULL,พร้อมใช้งาน,NULL,21/3/2025 11:50
17,ห้องปฎิบัติการทดสอบวัสดุก่อสร้าง,Construction Materials Testing Laboratory,F01102I,ห้องปฎิบัติการทดสอบวัสดุก่อสร้าง Construction Mate...,15.4,2,NULL,NULL,1,1,อาคารเครื่องมือ 1,NULL,NULL,NULL,พร้อมใช้งาน,NULL,21/3/2025 11:50
18,ห้องปฎิบัติการทดสอบวัสดุก่อสร้าง,Construction Materials Testing Laboratory,F01102E,ห้องปฎิบัติการทดสอบวัสดุก่อสร้าง Construction Mate...,134.8,8,NULL,NULL,1,1,อาคารเครื่องมือ 1,NULL,NULL,NULL,พร้อมใช้งาน,NULL,21/3/2025 11:50
19,ห้องปฎิบัติการทดสอบวัสดุก่อสร้าง,Construction Materials Testing Laboratory,F01102D,ห้องปฎิบัติการทดสอบวัสดุก่อสร้าง Construction Mate...,17.6,6,NULL,NULL,1,1,อาคารเครื่องมือ 1,NULL,NULL,NULL,พร้อมใช้งาน,NULL,21/3/2025 11:50
20,ห้องปฎิบัติการทดสอบวัสดุก่อสร้าง,Construction Materials Testing Laboratory,F01102K,ห้องปฎิบัติการทดสอบวัสดุก่อสร้าง Construction Mate...,24.01,4,NULL,NULL,1,1,อาคารเครื่องมือ 1,NULL,NULL,NULL,พร้อมใช้งาน,NULL,21/3/2025 11:50
21,ห้องปฎิบัติการทดสอบวัสดุก่อสร้าง,Construction Materials Testing Laboratory,F01102B,ห้องปฎิบัติการทดสอบวัสดุก่อสร้าง Construction Mate...,41.2,4,NULL,NULL,1,1,อาคารเครื่องมือ 1,NULL,NULL,NULL,พร้อมใช้งาน,NULL,21/3/2025 11:50
22,ห้องปฎิบัติการทดสอบวัสดุก่อสร้าง,Construction Materials Testing Laboratory,F01102A,ห้องปฎิบัติการทดสอบวัสดุก่อสร้าง Construction Mate...,17.54,4,NULL,NULL,1,1,อาคารเครื่องมือ 1,NULL,NULL,NULL,พร้อมใช้งาน,NULL,21/3/2025 11:50
23,ห้องปฎิบัติการทดสอบวัสดุก่อสร้าง,Construction Materials Testing Laboratory,F01102C,ห้องปฎิบัติการทดสอบวัสดุก่อสร้าง Construction Mate...,58.22,8,NULL,NULL,1,1,อาคารเครื่องมือ 1,NULL,NULL,NULL,พร้อมใช้งาน,NULL,21/3/2025 11:50
24,ห้องปฎิบัติการทดสอบวัสดุก่อสร้าง,Construction Materials Testing Laboratory,F01102H,ห้องปฎิบัติการทดสอบวัสดุก่อสร้าง Construction Mate...,15.14,4,NULL,NULL,1,1,อาคารเครื่องมือ 1,NULL,NULL,NULL,พร้อมใช้งาน,NULL,21/3/2025 11:50
25,ห้องปฎิบัติการทดสอบวัสดุก่อสร้าง,Construction Materials Testing Laboratory,F01102G,ห้องปฎิบัติการทดสอบวัสดุก่อสร้าง Construction Mate...,11.22,6,NULL,NULL,1,1,อาคารเครื่องมือ 1,NULL,NULL,NULL,พร้อมใช้งาน,NULL,21/3/2025 11:50
26,ห้องปฎิบัติการทดสอบวัสดุก่อสร้าง,Construction Materials Testing Laboratory,F01102F,ห้องปฎิบัติการทดสอบวัสดุก่อสร้าง Construction Mate...,29.02,6,NULL,NULL,1,1,อาคารเครื่องมือ 1,NULL,NULL,NULL,พร้อมใช้งาน,NULL,21/3/2025 11:50
27,ห้องปฎิบัติการทดสอบวัสดุก่อสร้าง,Construction Materials Testing Laboratory,F01102J,ห้องปฎิบัติการทดสอบวัสดุก่อสร้าง Construction Mate...,16.59,2,NULL,NULL,1,1,อาคารเครื่องมือ 1,NULL,NULL,NULL,พร้อมใช้งาน,NULL,21/3/2025 11:50
28,ห้องปฎิบัติการทดสอบวัสดุก่อสร้าง,Construction Materials Testing Laboratory,F01102L,ห้องปฎิบัติการทดสอบวัสดุก่อสร้าง Construction Mate...,17.86,4,NULL,NULL,1,1,อาคารเครื่องมือ 1,NULL,NULL,NULL,พร้อมใช้งาน,NULL,21/3/2025 11:50
29,ห้องปฎิบัติการทดสอบวัสดุก่อสร้าง,Construction Materials Testing Laboratory,F01103A,ห้องปฎิบัติการทดสอบวัสดุก่อสร้าง Construction Mate...,7.17,3,NULL,NULL,1,1,อาคารเครื่องมือ 1,NULL,NULL,NULL,พร้อมใช้งาน,NULL,21/3/2025 11:50
30,ห้องปฎิบัติการทดสอบวัสดุก่อสร้าง,Construction Materials Testing Laboratory,F01103B,ห้องปฎิบัติการทดสอบวัสดุก่อสร้าง Construction Mate...,12.74,3,NULL,NULL,1,1,อาคารเครื่องมือ 1,NULL,NULL,NULL,พร้อมใช้งาน,NULL,21/3/2025 11:50
31,ห้องปฎิบัติการทดสอบวัสดุก่อสร้าง,Construction Materials Testing Laboratory,F01103E,ห้องปฎิบัติการทดสอบวัสดุก่อสร้าง Construction Mate...,27.35,3,NULL,NULL,1,1,อาคารเครื่องมือ 1,NULL,NULL,NULL,พร้อมใช้งาน,NULL,21/3/2025 11:50
32,ห้องปฎิบัติการทดสอบวัสดุก่อสร้าง,Construction Materials Testing Laboratory,F01103C,ห้องปฎิบัติการทดสอบวัสดุก่อสร้าง Construction Mate...,7.17,3,NULL,NULL,1,1,อาคารเครื่องมือ 1,NULL,NULL,NULL,พร้อมใช้งาน,NULL,21/3/2025 11:50
33,ห้องปฎิบัติการทดสอบวัสดุก่อสร้าง,Construction Materials Testing Laboratory,F01103D,ห้องปฎิบัติการทดสอบวัสดุก่อสร้าง Construction Mate...,7.17,3,NULL,NULL,1,1,อาคารเครื่องมือ 1,NULL,NULL,NULL,พร้อมใช้งาน,NULL,21/3/2025 11:50
34,ห้องปฎิบัติการทดสอบวัสดุก่อสร้าง,Construction Materials Testing Laboratory,F01105A,ห้องปฎิบัติการทดสอบวัสดุก่อสร้าง Construction Mate...,103.57,10,NULL,NULL,1,1,อาคารเครื่องมือ 1,NULL,NULL,NULL,พร้อมใช้งาน,NULL,21/3/2025 11:50
35,ห้องปฎิบัติการทดสอบวัสดุก่อสร้าง,Construction Materials Testing Laboratory,F01104C,ห้องปฎิบัติการทดสอบวัสดุก่อสร้าง Construction Mate...,22.69,3,NULL,NULL,1,1,อาคารเครื่องมือ 1,NULL,NULL,NULL,พร้อมใช้งาน,NULL,21/3/2025 11:50
36,ห้องปฎิบัติการทดสอบวัสดุก่อสร้าง,Construction Materials Testing Laboratory,F01104A,ห้องปฎิบัติการทดสอบวัสดุก่อสร้าง Construction Mate...,23.83,5,NULL,NULL,1,1,อาคารเครื่องมือ 1,NULL,NULL,NULL,พร้อมใช้งาน,NULL,21/3/2025 11:50
37,ห้องปฎิบัติการทดสอบวัสดุก่อสร้าง,Construction Materials Testing Laboratory,F01104B,ห้องปฎิบัติการทดสอบวัสดุก่อสร้าง Construction Mate...,14.64,3,NULL,NULL,1,1,อาคารเครื่องมือ 1,NULL,NULL,NULL,พร้อมใช้งาน,NULL,21/3/2025 11:50
38,ห้องปฎิบัติการทดสอบวัสดุก่อสร้าง,Construction Materials Testing Laboratory,F01105B,ห้องปฎิบัติการทดสอบวัสดุก่อสร้าง Construction Mate...,6.5,1,NULL,NULL,1,1,อาคารเครื่องมือ 1,NULL,NULL,NULL,พร้อมใช้งาน,NULL,21/3/2025 11:50
44,ห้องเก็บอุปกรณ์ปฏิบัติการ สโตร์,,F01111A,ห้องปฎิบัติการวิศวกรรมการผลิต,49,0,NULL,NULL,1,1,อาคารเครื่องมือ 1,NULL,NULL,NULL,พร้อมใช้งาน,NULL,21/3/2025 11:50
45,ห้องควบคุมไฟฟ้า,,F01112A,ห้องปฎิบัติการวิศวกรรมการผลิต,13.84,0,NULL,NULL,1,1,อาคารเครื่องมือ 1,NULL,NULL,NULL,พร้อมใช้งาน,NULL,21/3/2025 11:50
46,ห้องปฎิบัติการเครื่องมือวัดละเอียด 3 มิติ,3D SCANNER Lab,F01113A,ห้องปฎิบัติการวิศวกรรมการผลิต,15.81,10,NULL,NULL,1,1,อาคารเครื่องมือ 1,NULL,NULL,NULL,พร้อมใช้งาน,NULL,21/3/2025 11:50
47,ห้องพักเจ้าหน้าที่ประจำปฎิบัติการวิศวกรรมการผลิต,,F01114A,ห้องปฎิบัติการวิศวกรรมการผลิต,15.18,1,NULL,NULL,1,1,อาคารเครื่องมือ 1,NULL,NULL,NULL,พร้อมใช้งาน,NULL,21/3/2025 11:50
48,ห้องปฎิบัติการวิศวกรรมการผลิต Seminar2,Seminar2,F01116A,ห้องปฎิบัติการวิศวกรรมการผลิต,93.91,30,NULL,NULL,1,1,อาคารเครื่องมือ 1,NULL,NULL,NULL,พร้อมใช้งาน,NULL,21/3/2025 11:50
