ขวดสารเคมีที่มีอยู่ในคลังฯ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
รหัสขวด,ชื่อสารเคมี,CAS / Catalogue No.,เกรด,ขนาดบรรจุ,ปริมาณคงเหลือ,หน่วยบรรจุ,ชื่อผู้เพิ่มขวด,เวลาเพิ่มขวด,,,,,,,,,,,,,,,,,,,,,,,,สถานที่จัดเก็บ,woner
320F6600000001,Carbon dioxide,124-38-9,99.90%,25,25,กิโลกรัม,นายนพดล พริ้งเพราะ,27/3/2023 21:45,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
320F6600000002,Carbon dioxide,124-38-9,99.90%,25,25,กิโลกรัม,นายนพดล พริ้งเพราะ,27/3/2023 21:45,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
320F6600000003,Hydrogen peroxide,7722-84-1,35% AR grade,"2,500.00","2,500.00",มิลลิลิตร,นายนพดล พริ้งเพราะ,27/3/2023 22:06,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
320F6600000004,Hydrogen peroxide,7722-84-1,35% AR grade,"2,500.00","2,500.00",มิลลิลิตร,นายนพดล พริ้งเพราะ,27/3/2023 22:06,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
320F6600000005,Hydrogen peroxide,7722-84-1,35% AR grade,"2,500.00","2,500.00",มิลลิลิตร,นายนพดล พริ้งเพราะ,27/3/2023 22:06,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
320F6600000006,Hydrogen peroxide,7722-84-1,35% AR grade,"2,500.00","2,500.00",มิลลิลิตร,นายนพดล พริ้งเพราะ,27/3/2023 22:06,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
320F6600000007,Hydrogen peroxide,7722-84-1,35% AR grade,"2,500.00","2,500.00",มิลลิลิตร,นายนพดล พริ้งเพราะ,27/3/2023 22:06,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
320F6600000008,Hydrogen peroxide,7722-84-1,35% AR grade,"2,500.00","2,500.00",มิลลิลิตร,นายนพดล พริ้งเพราะ,27/3/2023 22:06,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
320F6600000009,Hydrogen peroxide,7722-84-1,35% AR grade,"2,500.00","2,500.00",มิลลิลิตร,นายนพดล พริ้งเพราะ,27/3/2023 22:06,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F01100A6600020,Nitrogen,7727-37-9,100.00%,"2,466.00","2,466.00",กิโลกรัม,นายรังสรรค์ เลอเลิศรัตนกุล,2/10/2023 10:44,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F01121A5800001,Immersion oil,466782,For microscopy/RS,100,100,มิลลิลิตร,นางสาวเมษา นันธิษา,28/9/2015 14:30,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F01121A5800004,Agarose,9012-36-6,For research use only. Not for use in diagnostic procedures.,100,100,กรัม,นางสาวเมษา นันธิษา,28/9/2015 14:35,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F01121A5800005,Agarose,9012-36-6,For research use only. Not for use in diagnostic procedures.,100,50,กรัม,นางสาวเมษา นันธิษา,28/9/2015 14:35,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F01121A5800042,RNase Away,7002,Removes DNA & DNase,475,475,มิลลิลิตร,นางสาวเมษา นันธิษา,28/9/2015 16:22,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F01121A5900001,Ethyl alcohol,64-17-5,"for analysis EMSURE® ACS,ISO,Reag. Ph Eur.","2,500.00","2,500.00",มิลลิลิตร,นายนพดล พริ้งเพราะ,2/6/2016 11:09,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F01121A5900002,Isopropyl alcohol,67-63-0,"for analysis EMSURE® ACS,ISO,Reag. Ph Eur","2,500.00","2,500.00",มิลลิลิตร,นายนพดล พริ้งเพราะ,2/6/2016 11:09,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F01121A5900003,Tris(hydroxymethyl)aminomethane,77-86-1,-,500,500,กรัม,นายนพดล พริ้งเพราะ,2/6/2016 11:09,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F01121A5900004,Ethylenediaminetetraacetic acid,60-00-4,-,500,500,กรัม,นายนพดล พริ้งเพราะ,2/6/2016 11:09,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F01121A5900006,Lysozyme,12650-88-3,"Chicken Egg White,Activity;>23500.0 u/mg ,Heavy metals;<10.0ppm",1,1,กรัม,นายนพดล พริ้งเพราะ,2/6/2016 11:09,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F01126A5800001,Ammonium oxalate monohydrate,6009-70-7,RPE,500,500,กรัม,นางสาวนิตยา สมพงษ์,23/7/2015 13:45,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F01126A5800002,Bromocresol purple,115-40-2,RPE,5,5,กรัม,นางสาวนิตยา สมพงษ์,23/7/2015 13:59,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F01126A5800003,Bromocresol purple,115-40-2,RPE,5,5,กรัม,นางสาวนิตยา สมพงษ์,23/7/2015 13:59,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F01126A5800004,Ethylenediaminetetraacetic acid,60-00-4,RPE,250,250,กรัม,นางสาวนิตยา สมพงษ์,23/7/2015 14:17,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F01126A5800005,Glycerine,56-81-5,RPE,"1,000.00","1,000.00",มิลลิลิตร,นางสาวนิตยา สมพงษ์,23/7/2015 14:17,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F01126A5800006,Glycerine,56-81-5,RPE,"1,000.00","1,000.00",มิลลิลิตร,นางสาวนิตยา สมพงษ์,23/7/2015 14:17,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F01126A5800007,D-glucose,50-99-7,RPE,500,500,กรัม,นางสาวนิตยา สมพงษ์,23/7/2015 14:17,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F01126A5800008,Potassium chloride,7447-40-7,RPE,"1,000.00","1,000.00",กรัม,นางสาวนิตยา สมพงษ์,23/7/2015 14:17,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F01126A5800009,Potassium iodide,7681-11-0,RPE,250,250,กรัม,นางสาวนิตยา สมพงษ์,23/7/2015 14:17,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F01126A5800010,Potassium iodide,7681-11-0,RPE,"1,000.00","1,000.00",กรัม,นางสาวนิตยา สมพงษ์,23/7/2015 14:17,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F01126A5800011,Potassium hydroxide,1310-58-3,RPE,"1,000.00","1,000.00",กรัม,นางสาวนิตยา สมพงษ์,23/7/2015 14:17,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F01126A5800012,di-Potassium hydrogen phosphate anhydrous,4/11/7758,RPE,"1,000.00","1,000.00",กรัม,นางสาวนิตยา สมพงษ์,23/7/2015 14:17,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F01126A5800013,Sodium thiosulfate pentahydrate,10102-17-7,REP,"1,000.00","1,000.00",กรัม,นางสาวนิตยา สมพงษ์,23/7/2015 14:44,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F01126A5800014,Sodium lauryl sulfate,151-21-3,REP,250,250,กรัม,นางสาวนิตยา สมพงษ์,23/7/2015 14:44,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F01126A5800016,Sodium chloride,7647-14-5,REP,"1,000.00","1,000.00",กรัม,นางสาวนิตยา สมพงษ์,23/7/2015 14:44,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F01126A5800017,Sodium chloride,7647-14-5,REP,"1,000.00","1,000.00",กรัม,นางสาวนิตยา สมพงษ์,23/7/2015 14:44,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F01126A5800018,crystal violet,548-62-9,REP,25,25,กรัม,นางสาวนิตยา สมพงษ์,23/7/2015 14:44,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F01126A5800019,D(-)-Salicin,138-52-3,REP,25,25,กรัม,นางสาวนิตยา สมพงษ์,23/7/2015 14:44,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F01126A5800020,Iodine,7553-56-2,REP,100,100,กรัม,นางสาวนิตยา สมพงษ์,23/7/2015 14:44,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F01126A5800021,Bromothymol blue,76-59-5,REP,5,5,กรัม,นางสาวนิตยา สมพงษ์,23/7/2015 14:44,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F01126A5800023,BAIRD-PARKER agar,105406,acc. ISO 6888 and FDA-BAM GranuCult™,500,500,กรัม,นางสาวนิตยา สมพงษ์,5/8/2015 11:15,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F01126A5800035,Buffered Peptone Water,107228,"acc. ISO 6579, ISO 21528, ISO 22964, FDA-BAM and EP GranuCult™",500,500,กรัม,นางสาวนิตยา สมพงษ์,5/8/2015 11:44,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F01126A5800038,Cooked Meat Medium,CM0081,-,500,500,กรัม,นางสาวนิตยา สมพงษ์,5/8/2015 11:44,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F01126A5800056,Eosin Methylene Blue agar (Levine),CM0069,-,500,500,กรัม,นางสาวนิตยา สมพงษ์,6/8/2015 09:55,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F01126A5800058,Eosin Methylene Blue agar (Levine),CM0069,-,500,500,กรัม,นางสาวนิตยา สมพงษ์,6/8/2015 09:55,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F01126A5800059,Eosin Methylene Blue agar (Levine),CM0069,-,500,500,กรัม,นางสาวนิตยา สมพงษ์,6/8/2015 09:55,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F01126A5800064,Fluid Thioglycollate medium,108191,"acc. EP, USP, JP and ISO GranuCult™",500,500,กรัม,นางสาวนิตยา สมพงษ์,6/8/2015 09:55,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F01126A5800071,Lactophenol Cotton Blue,S016,-,100,100,มิลลิกรัม,นางสาวนิตยา สมพงษ์,6/8/2015 10:25,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F01126A5800080,Lauryl Tryptose broth With MUG,CM0980,laboratory,500,500,กรัม,นางสาวนิตยา สมพงษ์,6/8/2015 10:25,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F01126A5800085,Lysine Iron agar,CM0381,laboratory,500,500,กรัม,นางสาวนิตยา สมพงษ์,6/8/2015 10:25,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F01126A5800089,MacConkey agar,212123,For differential isolation of enteric bacilli based on lactose fermentation,500,500,กรัม,นางสาวนิตยา สมพงษ์,6/8/2015 11:31,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F01126A5800091,Malt extract agar,CM0059,-,500,500,กรัม,นางสาวนิตยา สมพงษ์,6/8/2015 11:31,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F01126A5800093,Mannitol salt phenol-red agar,105404,for microbiology (According harm. EP/USP/JP),500,500,กรัม,นางสาวนิตยา สมพงษ์,6/8/2015 11:31,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F01126A5800094,M-FC Broth Base,M1111,-,500,500,กรัม,นางสาวนิตยา สมพงษ์,6/8/2015 11:31,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F01126A5800099,MIL medium,218041,Motility Indole Lysine,500,500,กรัม,นางสาวนิตยา สมพงษ์,6/8/2015 11:31,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F01126A5800100,MR-VP broth,105712,Methyl-red VOGES-PROSKAUER broth for microbiology,500,500,กรัม,นางสาวนิตยา สมพงษ์,6/8/2015 11:31,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F01126A5800105,Nutrient broth,105443,for microbiology,500,500,กรัม,นางสาวนิตยา สมพงษ์,6/8/2015 13:38,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F01126A5800108,Plate Count agar,105463,"acc. ISO 4833, ISO 17410 and FDA-BAM GranuCult™",500,500,กรัม,นางสาวนิตยา สมพงษ์,6/8/2015 13:38,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F01126A5800109,Plate Count agar,105463,"acc. ISO 4833, ISO 17410 and FDA-BAM GranuCult™",500,500,กรัม,นางสาวนิตยา สมพงษ์,6/8/2015 13:38,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F01126A5800110,Plate Count agar,105463,"acc. ISO 4833, ISO 17410 and FDA-BAM GranuCult™",500,500,กรัม,นางสาวนิตยา สมพงษ์,6/8/2015 13:38,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F01126A5800111,Plate Count agar,105463,"acc. ISO 4833, ISO 17410 and FDA-BAM GranuCult™",500,500,กรัม,นางสาวนิตยา สมพงษ์,6/8/2015 13:38,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F01126A5800112,Plate Count agar,105463,"acc. ISO 4833, ISO 17410 and FDA-BAM GranuCult™",500,500,กรัม,นางสาวนิตยา สมพงษ์,6/8/2015 13:38,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
