ความเคลื่อนไหวคลังสารเคมี,,,,,,
,,,,,,
"ศูนย์, สำนักวิชา","ฝ่าย, สาขาวิชา",งาน,ชื่อคลังสารเคมี,จำนวนขวดสารเคมี,จำนวนสารเคมี,ปริมาณรวม (kg)
ศูนย์เครื่องมือวิทยาศาสตร์และเทคโนโลยี,ฝ่ายบริการสัตว์ทดลองเพื่องานทางวิทยาศาสตร์,งานผลิตและเลี้ยงสัตว์เพื่องานทางวิทยาศาสตร์,อาคารสัตว์ทดลองเพื่องานทางวิทยาศาสตร์,22,4,114.5
ศูนย์เครื่องมือวิทยาศาสตร์และเทคโนโลยี,ฝ่ายบริการสัตว์ทดลองเพื่องานทางวิทยาศาสตร์,งานควบคุมคุณภาพ สุขภาพสัตว์และตรวจวิเคราะห์,อาคารสัตว์ทดลองเพื่องานทางวิทยาศาสตร์,22,4,114.5
ศูนย์เครื่องมือวิทยาศาสตร์และเทคโนโลยี,ฝ่ายบริหารงานทั่วไป,งานจัดซื้อวัสดุ อุปกรณ์ ครุภัณฑ์,สำนักงานบริหารงานทั่วไป,0,0,0
ศูนย์เครื่องมือวิทยาศาสตร์และเทคโนโลยี,ฝ่ายพัฒนาและปรับปรุงห้องปฏิบัติการ,งานพัฒนาเครื่องมือและสิ่งประดิษฐ์,โรงเครื่องมือกล,1,1,6
ศูนย์เครื่องมือวิทยาศาสตร์และเทคโนโลยี,ฝ่ายพัฒนาและปรับปรุงห้องปฏิบัติการ,งานซ่อมบำรุงเครื่องมือ,งานซ่อมบำรุงเครื่องมือ,0,0,0
ศูนย์เครื่องมือวิทยาศาสตร์และเทคโนโลยี,ฝ่ายวิเคราะห์ด้วยเครื่องมือ,งานวิเคราะห์ทางเคมีและชีวเคมี,ห้องปฏิบัติการงานวิเคราะห์ทางเคมีและชีวเคมี,335,172,584.74
ศูนย์เครื่องมือวิทยาศาสตร์และเทคโนโลยี,ฝ่ายวิเคราะห์ด้วยเครื่องมือ,งานวิเคราะห์ด้วยกล้องจุลทรรศน์,ห้องปฏิบัติการงานวิเคราะห์ด้วยกล้องจุลทรรศน์,21,11,95.79
ศูนย์เครื่องมือวิทยาศาสตร์และเทคโนโลยี,ฝ่ายวิเคราะห์ด้วยเครื่องมือ,งานวิเคราะห์ทางจุลชีววิทยา,งานวิเคราะห์ทางจุลชีววิทยา,176,113,79.12
ศูนย์เครื่องมือวิทยาศาสตร์และเทคโนโลยี,ฝ่ายวิเคราะห์ด้วยเครื่องมือ,งานทดสอบทางกายภาพ,งานทดสอบทางกายภาพ,8,7,72.09
ศูนย์เครื่องมือวิทยาศาสตร์และเทคโนโลยี,ฝ่ายวิเคราะห์ด้วยเครื่องมือ,งานวิเคราะห์น้ำ,งานวิเคราะห์น้ำ,60,49,24.38
ศูนย์เครื่องมือวิทยาศาสตร์และเทคโนโลยี,ฝ่ายวิเคราะห์ด้วยเครื่องมือ,งานวิเคราะห์ทางจุลชีววิทยา,ห้องปฏิบัติการเตรียมอาหารเลี้ยงเชื้อ,0,0,0
ศูนย์เครื่องมือวิทยาศาสตร์และเทคโนโลยี,ฝ่ายวิเคราะห์ด้วยเครื่องมือ,งานวิเคราะห์ทางจุลชีววิทยา,ห้องปฏิบัติการวิเคราะห์ทางพันธุกรรม,0,0,0
ศูนย์เครื่องมือวิทยาศาสตร์และเทคโนโลยี,ฝ่ายวิเคราะห์ด้วยเครื่องมือ,งานวิเคราะห์น้ำ,ห้องปฏิบัติการวิเคราะห์ไนโตรเจน,0,0,0
ศูนย์เครื่องมือวิทยาศาสตร์และเทคโนโลยี,ฝ่ายวิเคราะห์ด้วยเครื่องมือ,งานวิเคราะห์ทางจุลชีววิทยา,ห้องปฏิบัติการวิเคราะห์ทางจุลชิววิทยา,0,0,0
ศูนย์เครื่องมือวิทยาศาสตร์และเทคโนโลยี,ฝ่ายวิเคราะห์ด้วยเครื่องมือ,งานวิเคราะห์ทางเคมีและชีวเคมี,ห้องปฏิบัติการเตรียมตัวอย่าง 4,0,0,0
ศูนย์เครื่องมือวิทยาศาสตร์และเทคโนโลยี,ฝ่ายสนับสนุนโครงการวิจัยฯ,งานความปลอดภัยและสิ่งแวดล้อมห้องปฏิบัติการ,งานความปลอดภัยและสิ่งแวดล้อมห้องปฏิบัติการ,0,0,0
ศูนย์เครื่องมือวิทยาศาสตร์และเทคโนโลยี,ฝ่ายห้องปฏิบัติการเทคโนโลยีการเกษตร,งานกลุ่มห้องปฏิบัติการเทคโนโลยีอาหาร,ห้องปฏิบัติการเคมีอาหาร,109,49,315.51
ศูนย์เครื่องมือวิทยาศาสตร์และเทคโนโลยี,ฝ่ายห้องปฏิบัติการเทคโนโลยีการเกษตร,งานกลุ่มห้องปฏิบัติการเทคโนโลยีการผลิตสัตว์,ห้องปฏิบัติการกลาง 2,14,5,258.2
ศูนย์เครื่องมือวิทยาศาสตร์และเทคโนโลยี,ฝ่ายห้องปฏิบัติการเทคโนโลยีการเกษตร,งานกลุ่มห้องปฏิบัติการเทคโนโลยีการผลิตสัตว์,ห้องปฏิบัติการสรีรวิทยาและกายวิภาคศาสตร์สัตว์,49,23,187.3
ศูนย์เครื่องมือวิทยาศาสตร์และเทคโนโลยี,ฝ่ายห้องปฏิบัติการเทคโนโลยีการเกษตร,งานกลุ่มห้องปฏิบัติการเทคโนโลยีอาหาร,ห้องปฏิบัติการจุลชีววิทยาอาหาร,105,52,153.79
ศูนย์เครื่องมือวิทยาศาสตร์และเทคโนโลยี,ฝ่ายห้องปฏิบัติการเทคโนโลยีการเกษตร,งานกลุ่มห้องปฏิบัติการเทคโนโลยีการผลิตพืช,ห้องปฏิบัติการสรีรวิทยาพืช,35,12,139.41
ศูนย์เครื่องมือวิทยาศาสตร์และเทคโนโลยี,ฝ่ายห้องปฏิบัติการเทคโนโลยีการเกษตร,งานกลุ่มห้องปฏิบัติการเทคโนโลยีอาหาร,ห้องปฏิบัติการเคมีวิเคราะห์อาหาร,56,34,125.08
ศูนย์เครื่องมือวิทยาศาสตร์และเทคโนโลยี,ฝ่ายห้องปฏิบัติการเทคโนโลยีการเกษตร,งานกลุ่มห้องปฏิบัติการเทคโนโลยีการผลิตพืช,ห้องปฏิบัติการปฐพีวิทยา,72,47,114.92
ศูนย์เครื่องมือวิทยาศาสตร์และเทคโนโลยี,ฝ่ายห้องปฏิบัติการเทคโนโลยีการเกษตร,งานกลุ่มห้องปฏิบัติการเทคโนโลยีการผลิตพืช,ห้องปฏิบัติการโรคพืชวิทยา,155,106,111.23
ศูนย์เครื่องมือวิทยาศาสตร์และเทคโนโลยี,ฝ่ายห้องปฏิบัติการเทคโนโลยีการเกษตร,งานกลุ่มห้องปฏิบัติการเทคโนโลยีการผลิตสัตว์,ห้องปฏิบัติการโภชนศาสตร์สัตว์,54,26,53.99
ศูนย์เครื่องมือวิทยาศาสตร์และเทคโนโลยี,ฝ่ายห้องปฏิบัติการเทคโนโลยีการเกษตร,งานกลุ่มห้องปฏิบัติการเทคโนโลยีการผลิตพืช,ห้องปฏิบัติการชีวโมเลกุลพืช,56,49,22.45
ศูนย์เครื่องมือวิทยาศาสตร์และเทคโนโลยี,ฝ่ายห้องปฏิบัติการเทคโนโลยีการเกษตร,งานกลุ่มห้องปฏิบัติการเทคโนโลยีการผลิตพืช,ห้องปฏิบัติการบัณฑิตปรับปรุงพันธุ์พืช,14,13,21.3
ศูนย์เครื่องมือวิทยาศาสตร์และเทคโนโลยี,ฝ่ายห้องปฏิบัติการเทคโนโลยีการเกษตร,งานกลุ่มห้องปฏิบัติการเทคโนโลยีชีวภาพ,ห้องปฏิบัติการกลางเทคโนโลยีชีวภาพ,21,20,5.46
ศูนย์เครื่องมือวิทยาศาสตร์และเทคโนโลยี,ฝ่ายห้องปฏิบัติการเทคโนโลยีการเกษตร,งานกลุ่มห้องปฏิบัติการเทคโนโลยีชีวภาพ,ห้องปฏิบัติการจุลินทรีย์ดินประยุกต์,23,21,3.56
ศูนย์เครื่องมือวิทยาศาสตร์และเทคโนโลยี,ฝ่ายห้องปฏิบัติการเทคโนโลยีการเกษตร,งานกลุ่มห้องปฏิบัติการเทคโนโลยีชีวภาพ,ห้องปฏิบัติการอณูชีววิทยา,4,3,0.4
ศูนย์เครื่องมือวิทยาศาสตร์และเทคโนโลยี,ฝ่ายห้องปฏิบัติการเทคโนโลยีการเกษตร,งานกลุ่มห้องปฏิบัติการเทคโนโลยีการผลิตพืช,ห้องปฏิบัติการกีฏวิทยา,0,0,0
ศูนย์เครื่องมือวิทยาศาสตร์และเทคโนโลยี,ฝ่ายห้องปฏิบัติการเทคโนโลยีการเกษตร,งานกลุ่มห้องปฏิบัติการเทคโนโลยีชีวภาพ,ห้องปฏิบัติการหมัก,0,0,0
ศูนย์เครื่องมือวิทยาศาสตร์และเทคโนโลยี,ฝ่ายห้องปฏิบัติการเทคโนโลยีการเกษตร,งานกลุ่มห้องปฏิบัติการเทคโนโลยีชีวภาพ,ห้องปฏิบัติการวิศวกรรมโปรตีน,0,0,0
ศูนย์เครื่องมือวิทยาศาสตร์และเทคโนโลยี,ฝ่ายห้องปฏิบัติการเทคโนโลยีการเกษตร,งานกลุ่มห้องปฏิบัติการเทคโนโลยีชีวภาพ,ห้องปฏิบัติการโคลนนิ่ง ( Cloning),0,0,0
ศูนย์เครื่องมือวิทยาศาสตร์และเทคโนโลยี,ฝ่ายห้องปฏิบัติการเทคโนโลยีการเกษตร,งานกลุ่มห้องปฏิบัติการเทคโนโลยีชีวภาพ,ห้องปฏิบัติการเทคโนโลยีชีวภาพระดับนาโน,0,0,0
ศูนย์เครื่องมือวิทยาศาสตร์และเทคโนโลยี,ฝ่ายห้องปฏิบัติการเทคโนโลยีการเกษตร,งานกลุ่มห้องปฏิบัติการเทคโนโลยีอาหาร,ห้องปฏิบัติการวิจัยทางอาหาร,0,0,0
ศูนย์เครื่องมือวิทยาศาสตร์และเทคโนโลยี,ฝ่ายห้องปฏิบัติการเทคโนโลยีการเกษตร,งานกลุ่มห้องปฏิบัติการเทคโนโลยีชีวภาพ,ห้องปฏิบัติการวิศวกรรมกระบวนการชีวภาพ,0,0,0
ศูนย์เครื่องมือวิทยาศาสตร์และเทคโนโลยี,ฝ่ายห้องปฏิบัติการเทคโนโลยีการเกษตร,งานกลุ่มห้องปฏิบัติการเทคโนโลยีชีวภาพ,ห้องปฏิบัติการเพาะเลี้ยงเซลล์,0,0,0
ศูนย์เครื่องมือวิทยาศาสตร์และเทคโนโลยี,ฝ่ายห้องปฏิบัติการวิทยาศาสตร์และเทคโนโลยีสังคม,งานกลุ่มห้องปฏิบัติการเคมี,ห้องปฎิบัติการเคมีพื้นฐาน F02215A,31,10,356.16
ศูนย์เครื่องมือวิทยาศาสตร์และเทคโนโลยี,ฝ่ายห้องปฏิบัติการวิทยาศาสตร์และเทคโนโลยีสังคม,งานกลุ่มห้องปฏิบัติการเคมี,ห้องปฏิบัติการเคมี F02213A,250,105,309.61
ศูนย์เครื่องมือวิทยาศาสตร์และเทคโนโลยี,ฝ่ายห้องปฏิบัติการวิทยาศาสตร์และเทคโนโลยีสังคม,งานกลุ่มห้องปฏิบัติการชีววิทยา,ห้องปฏิบัติการจุลชีววิทยา,48,31,174.98
ศูนย์เครื่องมือวิทยาศาสตร์และเทคโนโลยี,ฝ่ายห้องปฏิบัติการวิทยาศาสตร์และเทคโนโลยีสังคม,งานกลุ่มห้องปฏิบัติการเคมี,ห้องปฏิบัติการเคมี F02113A,91,20,173.5
ศูนย์เครื่องมือวิทยาศาสตร์และเทคโนโลยี,ฝ่ายห้องปฏิบัติการวิทยาศาสตร์และเทคโนโลยีสังคม,งานกลุ่มห้องปฏิบัติการเคมี,ห้องปฏิบัติการเคมีเชิงฟิสิกส์,191,72,172.71
ศูนย์เครื่องมือวิทยาศาสตร์และเทคโนโลยี,ฝ่ายห้องปฏิบัติการวิทยาศาสตร์และเทคโนโลยีสังคม,งานกลุ่มห้องปฏิบัติการเคมี,ห้องปฏิบัติการเคมี F02111A,60,20,156.43
ศูนย์เครื่องมือวิทยาศาสตร์และเทคโนโลยี,ฝ่ายห้องปฏิบัติการวิทยาศาสตร์และเทคโนโลยีสังคม,งานกลุ่มห้องปฏิบัติการชีววิทยา,ห้องปฏิบัติการชีววิทยาพืช,60,50,111.54
ศูนย์เครื่องมือวิทยาศาสตร์และเทคโนโลยี,ฝ่ายห้องปฏิบัติการวิทยาศาสตร์และเทคโนโลยีสังคม,งานกลุ่มห้องปฏิบัติการชีววิทยา,ห้องปฏิบัติการชีววิทยาพื้นฐาน,63,24,107.25
ศูนย์เครื่องมือวิทยาศาสตร์และเทคโนโลยี,ฝ่ายห้องปฏิบัติการวิทยาศาสตร์และเทคโนโลยีสังคม,งานกลุ่มห้องปฏิบัติการเคมี,ห้องปฏิบัติการเคมี F02115A,180,45,104.25
